update,epochs,approx_kl,clip_fraction,value_mse,explained_variance,latent_entropy,ratio_min,ratio_max,forward_m,falls
1,1,0.02094530500471592,0.31700000166893005,0.29366856813430786,-0.026866555213928223,3.869382381439209,0.5007580518722534,2.0229713916778564,-0.02093105186882877,0
2,2,0.019906537607312202,0.2919999957084656,0.1982274055480957,-0.09807741641998291,3.869382381439209,0.5542005896568298,2.180612564086914,0.016480340464424058,0
3,2,0.018014706671237946,0.2750000059604645,0.28764861822128296,-0.04060781002044678,3.869382381439209,0.3757351040840149,1.960837721824646,0.010049630716475105,0
4,2,0.016384247690439224,0.2709999978542328,0.3662571907043457,-0.0734245777130127,3.869382381439209,0.5372326374053955,1.7106107473373413,0.014466848249476909,0
5,2,0.02256743609905243,0.3070000112056732,0.38176313042640686,-0.0359421968460083,3.869382381439209,0.4336494207382202,1.9912843704223633,0.0045555854963415495,0
6,2,0.01608298160135746,0.257999986410141,0.44902676343917847,-0.004553556442260742,3.869382381439209,0.5715810060501099,1.8624848127365112,0.02279378822644757,0
7,2,0.015111910179257393,0.23399999737739563,0.4653375744819641,-0.020247697830200195,3.869382381439209,0.4480156898498535,1.8236180543899536,0.018965485871484285,0
8,2,0.015364434570074081,0.24699999392032623,0.44425755739212036,0.01243215799331665,3.869382381439209,0.5879969596862793,1.9872056245803833,0.00664330137015883,0
9,2,0.01568559557199478,0.25600001215934753,0.46346384286880493,0.017202436923980713,3.869382381439209,0.5109702348709106,1.7687859535217285,-0.0006880733855298415,0
10,2,0.02353447489440441,0.32499998807907104,0.38074028491973877,-0.01906740665435791,3.869382381439209,0.48598262667655945,2.222085475921631,0.020657017352125138,0
11,2,0.015399209223687649,0.23499999940395355,0.5421275496482849,-0.0030062198638916016,3.869382381439209,0.5325368642807007,2.6477091312408447,0.06575682528253342,0
12,2,0.01617424376308918,0.2409999966621399,0.6357083916664124,-0.0018225908279418945,3.869382381439209,0.5471642017364502,1.8034627437591553,0.05145089314637057,0
13,2,0.018945932388305664,0.28999999165534973,0.6929764747619629,0.011953651905059814,3.869382381439209,0.47655388712882996,1.6939148902893066,0.07966275462681215,0
14,2,0.01777033321559429,0.27799999713897705,0.6778132915496826,-0.016600370407104492,3.869382381439209,0.43089932203292847,1.7782965898513794,0.08506298596283443,0
15,2,0.02023962326347828,0.3019999861717224,0.7650406360626221,0.024494528770446777,3.869382381439209,0.49053046107292175,2.0670113563537598,0.07165672408739525,0
16,2,0.016247441992163658,0.2630000114440918,0.7319603562355042,0.002699613571166992,3.869382381439209,0.5013208985328674,1.8668540716171265,0.06360930706528548,0
17,2,0.019176091998815536,0.2919999957084656,0.7025907635688782,0.013531029224395752,3.869382381439209,0.4065713584423065,2.0192484855651855,0.08313896785765934,0
18,2,0.019593633711338043,0.2809999883174896,0.7372559905052185,0.0072283148765563965,3.869382381439209,0.44592955708503723,1.9199880361557007,0.08161998479980671,0
19,2,0.01794319599866867,0.2879999876022339,0.6544725894927979,0.028921902179718018,3.869382381439209,0.5024245977401733,1.7366381883621216,0.04812308395786026,0
20,2,0.013350383378565311,0.20399999618530273,0.6997919678688049,0.02275824546813965,3.869382381439209,0.5931590795516968,1.8088399171829224,0.0828405502089904,0
21,2,0.018791992217302322,0.2849999964237213,0.7246821522712708,0.019051015377044678,3.869382381439209,0.4669189751148224,2.0335171222686768,0.11353495548135945,0
22,2,0.016459336504340172,0.25200000405311584,0.7904770970344543,-0.005695223808288574,3.869382381439209,0.4797544479370117,1.6668884754180908,0.08021534170539964,0
23,2,0.023117119446396828,0.32499998807907104,0.7828934788703918,0.015248239040374756,3.869382381439209,0.37855854630470276,1.946914792060852,0.07811544859674863,0
24,2,0.018932923674583435,0.2669999897480011,0.8621196150779724,-0.0007408857345581055,3.869382381439209,0.41596272587776184,2.1571857929229736,0.12328215339598536,0
25,2,0.023662015795707703,0.32899999618530273,0.8700619339942932,0.0073264241218566895,3.869382381439209,0.4760116636753082,2.347747802734375,0.0925551401352891,0
26,2,0.022262442857027054,0.32199999690055847,0.8745330572128296,0.003079354763031006,3.869382381439209,0.46785056591033936,2.113678455352783,0.12049306982394585,0
27,2,0.024013016372919083,0.33799999952316284,1.0172755718231201,0.02705436944961548,3.869382381439209,0.345102995634079,1.9406167268753052,0.13945931921331808,0
28,2,0.017358282580971718,0.2639999985694885,1.1164730787277222,0.01894831657409668,3.869382381439209,0.5154101848602295,1.7109395265579224,0.16829438480896514,0
29,2,0.018756303936243057,0.30799999833106995,1.0798858404159546,-0.0006220340728759766,3.869382381439209,0.5128859877586365,1.778455138206482,0.1966006493014646,0
30,2,0.018258465453982353,0.2720000147819519,1.1156023740768433,-0.0018131732940673828,3.869382381439209,0.5382765531539917,1.7648414373397827,0.20569174466648654,0
31,2,0.016183366999030113,0.24699999392032623,1.2121549844741821,0.014421224594116211,3.869382381439209,0.5268845558166504,1.644405722618103,0.17326295705118133,0
32,2,0.018297448754310608,0.25600001215934753,1.4314128160476685,0.014360368251800537,3.869382381439209,0.4345378279685974,2.356842279434204,0.21518807551687297,0
33,2,0.017933983355760574,0.2639999985694885,1.2321956157684326,0.010535836219787598,3.869382381439209,0.5330566763877869,1.9229612350463867,0.20174496988950147,0
34,2,0.019062742590904236,0.26899999380111694,1.435721755027771,0.011357367038726807,3.869382381439209,0.43913623690605164,2.1814966201782227,0.1958098517138756,0
35,2,0.02034035511314869,0.2879999876022339,1.2903318405151367,0.017816126346588135,3.869382381439209,0.4124591052532196,1.9716516733169556,0.23806600130161196,0
36,2,0.020004751160740852,0.296999990940094,1.4228460788726807,0.004686176776885986,3.869382381439209,0.4210359752178192,1.8524047136306763,0.24262697857912507,0
37,2,0.02023405395448208,0.296999990940094,1.496012568473816,-0.004663348197937012,3.869382381439209,0.3631437122821808,1.8691120147705078,0.2737857470648695,0
38,2,0.020109549164772034,0.28999999165534973,1.6363061666488647,-0.0028645992279052734,3.869382381439209,0.44837430119514465,1.8348630666732788,0.19674280740127023,0
39,2,0.026703793555498123,0.3799999952316284,1.764909267425537,-0.00985872745513916,3.869382381439209,0.42868882417678833,2.153679132461548,0.2768104881275515,0
40,2,0.023554734885692596,0.3310000002384186,1.4390369653701782,0.0069866180419921875,3.869382381439209,0.396864652633667,3.2621123790740967,0.2108776689466149,0
41,2,0.019057635217905045,0.2709999978542328,1.8230170011520386,0.013583838939666748,3.869382381439209,0.49361783266067505,2.0166428089141846,0.23370929976683402,0
42,2,0.019807573407888412,0.3009999990463257,1.7909866571426392,0.011787235736846924,3.869382381439209,0.39007872343063354,1.832183599472046,0.23206814876015966,0
43,2,0.01789025589823723,0.25999999046325684,1.6407201290130615,0.0270538330078125,3.869382381439209,0.5136001110076904,2.28505539894104,0.25162014958014156,0
44,2,0.015578048303723335,0.2529999911785126,1.372726559638977,0.007874667644500732,3.869382381439209,0.47644516825675964,1.809802770614624,0.2682607605693792,0
45,2,0.02604086697101593,0.34200000762939453,1.6619975566864014,0.00780940055847168,3.869382381439209,0.3867226541042328,2.0032403469085693,0.2376711862551803,0
46,2,0.025174209848046303,0.34200000762939453,1.9657845497131348,0.007833242416381836,3.869382381439209,0.4290499687194824,1.9644229412078857,0.3039096048811117,0
47,2,0.019211865961551666,0.27900001406669617,1.7868913412094116,0.012537360191345215,3.869382381439209,0.4630742371082306,2.131610631942749,0.2962240452008823,0
48,2,0.020133357495069504,0.29499998688697815,1.6942335367202759,0.014386773109436035,3.869382381439209,0.504508912563324,1.8649873733520508,0.2839017697547564,0
49,2,0.02167591080069542,0.3149999976158142,2.0431997776031494,0.014708220958709717,3.869382381439209,0.4139995872974396,2.2036380767822266,0.3098579973367501,0
50,2,0.018976306542754173,0.2669999897480011,1.7374472618103027,0.003320634365081787,3.869382381439209,0.4858890175819397,2.0342531204223633,0.30612364602607706,0
51,2,0.024886224418878555,0.3569999933242798,1.9545577764511108,0.004520118236541748,3.869382381439209,0.49522051215171814,1.9992419481277466,0.32191624516786543,0
52,2,0.017943229526281357,0.2619999945163727,1.9359055757522583,0.02212369441986084,3.869382381439209,0.4855179786682129,1.947546124458313,0.3008981042470678,0
53,2,0.02108808606863022,0.29600000381469727,1.9427319765090942,0.012848258018493652,3.869382381439209,0.4887666404247284,2.0607030391693115,0.290828377597133,0
54,2,0.017226316034793854,0.2800000011920929,2.4346790313720703,0.033026695251464844,3.869382381439209,0.5239133238792419,2.0704026222229004,0.31877910302151496,0
55,2,0.01988055743277073,0.28700000047683716,2.1243698596954346,0.030151665210723877,3.869382381439209,0.3719898462295532,1.861684799194336,0.3209378430937774,0
56,2,0.017592811957001686,0.2759999930858612,2.11814022064209,0.04933738708496094,3.869382381439209,0.4954552948474884,2.0121991634368896,0.34077582773245785,0
57,2,0.016196509823203087,0.24500000476837158,2.095085382461548,0.03513956069946289,3.869382381439209,0.578377366065979,1.8461096286773682,0.3348097853924737,0
58,2,0.022049350664019585,0.296999990940094,2.199725389480591,0.04588305950164795,3.869382381439209,0.5455279350280762,2.1133830547332764,0.3567639760134132,0
59,2,0.02388702519237995,0.35600000619888306,2.308955669403076,0.026099562644958496,3.869382381439209,0.513748049736023,2.894441843032837,0.370446197456092,0
60,2,0.021552106365561485,0.3230000138282776,2.428165912628174,0.10150676965713501,3.869382381439209,0.4574161469936371,2.3318779468536377,0.3634122530065933,0
61,2,0.018604381009936333,0.2759999930858612,2.402066230773926,0.05534905195236206,3.869382381439209,0.4051562547683716,2.015406608581543,0.38301701880055167,0
62,2,0.021072139963507652,0.30000001192092896,2.4634745121002197,0.09636980295181274,3.869382381439209,0.44915878772735596,2.1841392517089844,0.36769358524227375,0
63,2,0.02978779375553131,0.3659999966621399,2.429253101348877,0.06502741575241089,3.869382381439209,0.2871144711971283,2.065974712371826,0.3635374549603673,0
64,2,0.020580489188432693,0.30399999022483826,2.2535321712493896,0.13986092805862427,3.869382381439209,0.4436377286911011,2.1136956214904785,0.40547886208959916,0
65,2,0.022572895511984825,0.30399999022483826,2.6096761226654053,0.06927579641342163,3.869382381439209,0.4604676365852356,2.2609260082244873,0.38442436562908566,0
66,2,0.02032231166958809,0.289000004529953,2.68027400970459,0.195156991481781,3.869382381439209,0.39532798528671265,2.043498992919922,0.46257690198420026,0
67,2,0.023448236286640167,0.33399999141693115,2.802877902984619,0.1475505828857422,3.869382381439209,0.4272012412548065,2.084811210632324,0.4888376117106794,0
68,2,0.017395492643117905,0.24199999868869781,3.080493688583374,0.1222807765007019,3.869382381439209,0.4769509434700012,2.0172603130340576,0.4868366037827757,0
69,2,0.02072354406118393,0.3100000023841858,3.3132593631744385,0.15031147003173828,3.869382381439209,0.47300779819488525,1.8327521085739136,0.47833068036674564,0
70,2,0.017807023599743843,0.2759999930858612,2.9456727504730225,0.2849976420402527,3.869382381439209,0.532444953918457,1.7320024967193604,0.5696430482854556,0
71,2,0.0176378283649683,0.24799999594688416,3.114877939224243,0.39539146423339844,3.869382381439209,0.43316006660461426,1.968485951423645,0.5259678100309741,0
72,2,0.02598606050014496,0.36000001430511475,3.6112935543060303,0.31066447496414185,3.869382381439209,0.4745021462440491,2.6740071773529053,0.6020086782948384,0
73,2,0.02417278289794922,0.35899999737739563,3.727281093597412,0.3572632074356079,3.869382381439209,0.47405797243118286,2.163531541824341,0.6731530017993711,0
74,2,0.02455979399383068,0.3619999885559082,3.879678249359131,0.34290361404418945,3.869382381439209,0.4044991731643677,2.0623703002929688,0.6851795898370387,0
75,2,0.022604282945394516,0.32499998807907104,3.469672918319702,0.5051097869873047,3.869382381439209,0.4315025806427002,2.628981828689575,0.6708264187245896,0
76,2,0.02088996209204197,0.30799999833106995,3.666478157043457,0.3645936846733093,3.869382381439209,0.5202917456626892,1.8049980401992798,0.6975126652802528,0
77,2,0.02940823696553707,0.3790000081062317,4.9539794921875,0.2747920751571655,3.869382381439209,0.3560234308242798,2.445225477218628,0.7997698947095061,0
78,2,0.023734401911497116,0.3409999907016754,4.746428489685059,0.362443208694458,3.869382381439209,0.40407198667526245,2.330639600753784,0.8185388169531458,0
79,2,0.0219969991594553,0.30399999022483826,6.238397121429443,0.18475466966629028,3.869382381439209,0.3838445544242859,2.092982769012451,0.8462296842292455,0
80,1,0.010243023745715618,0.1589999943971634,6.039050579071045,0.15514308214187622,3.869382381439209,0.6177783608436584,1.6739072799682617,0.871137156111904,0
81,2,0.028658756986260414,0.3659999966621399,5.677666187286377,0.43809401988983154,3.869382381439209,0.4592532813549042,3.521596670150757,0.8852733443531025,0
82,1,0.011151386424899101,0.16899999976158142,7.107120990753174,0.20520758628845215,3.869382381439209,0.5574254989624023,1.694705843925476,0.9383093065795143,0
83,1,0.010771370492875576,0.1679999977350235,6.567432403564453,0.2464248538017273,3.869382381439209,0.5282198190689087,1.6008371114730835,0.8926203298039976,0
84,1,0.012043748050928116,0.17800000309944153,6.259390830993652,0.44828927516937256,3.869382381439209,0.5683679580688477,1.756034016609192,0.9017400255134033,0
85,1,0.01453778799623251,0.23000000417232513,5.576401710510254,0.5952398777008057,3.869382381439209,0.5479913949966431,1.5897083282470703,0.9598013794993618,0
86,2,0.0293051116168499,0.38600000739097595,4.086346626281738,0.7053421139717102,3.869382381439209,0.3880052864551544,2.4453072547912598,0.8483324109237343,0
87,2,0.01994454488158226,0.3070000112056732,6.027665138244629,0.5413357019424438,3.869382381439209,0.5351236462593079,1.935417652130127,1.0409230803287128,0
88,1,0.010038371197879314,0.15399999916553497,7.451979637145996,0.39301925897598267,3.869382381439209,0.5147519707679749,1.6423780918121338,1.06106477450339,0
89,2,0.03298349678516388,0.42399999499320984,9.825170516967773,0.06975996494293213,3.869382381439209,0.4067152440547943,2.1331746578216553,1.2444843648975281,0
90,2,0.02549087256193161,0.35499998927116394,8.95284366607666,0.19299322366714478,3.869382381439209,0.41263458132743835,2.2100613117218018,1.1044345993192466,0
91,2,0.027159759774804115,0.39100000262260437,10.114867210388184,0.1966707706451416,3.869382381439209,0.4000474810600281,2.1200528144836426,1.214177197517229,0
92,1,0.01017264649271965,0.1509999930858612,7.4192070960998535,0.48179322481155396,3.869382381439209,0.6173204183578491,1.5105512142181396,1.1402274408106647,0
93,1,0.015769388526678085,0.21400000154972076,7.925281524658203,0.5570001602172852,3.869382381439209,0.49165216088294983,1.8858675956726074,1.152411535411642,0
94,1,0.012029098346829414,0.18000000715255737,10.210502624511719,0.2648947834968567,3.869382381439209,0.5504350066184998,1.7061344385147095,1.1793571968582164,0
95,1,0.013569017872214317,0.20800000429153442,9.145837783813477,0.46886634826660156,3.869382381439209,0.556628406047821,1.6763514280319214,1.221353580840437,0
96,2,0.029504412785172462,0.382999986410141,9.57941722869873,0.4540209174156189,3.869382381439209,0.38761618733406067,2.605743169784546,1.2511773326895326,0
97,2,0.029387040063738823,0.38100001215934753,11.359930992126465,0.261835515499115,3.869382381439209,0.382104754447937,2.3627543449401855,1.3400975285439578,0
98,2,0.030421476811170578,0.4009999930858612,11.171972274780273,0.2722358703613281,3.869382381439209,0.38558638095855713,1.9969686269760132,1.3150100438966885,0
99,2,0.025604842230677605,0.3449999988079071,11.802284240722656,0.2814441919326782,3.869382381439209,0.41348862648010254,2.4296722412109375,1.3208183210454663,0
100,1,0.011993014253675938,0.1809999942779541,13.486072540283203,0.22004258632659912,3.869382381439209,0.5044150948524475,1.776496410369873,1.3427929694179515,0
